STT,Mẫu xe,Mã phiên bản,Tên phiên bản,Mã màu ngoại thất,Tên màu ngoại thất,Mã nội thất,Tên nội thất,Giá chính xác (đ),Giá cơ bản phiên bản (đ),Chênh lệch giá theo màu (đ),Có sẵn,PID,optionsName,Công suất tối đa,Quãng đường,Chiều dài cơ sở,Tùy chọn nâng cấp (giá tăng thêm)
1,VF 2,TH14V,Tiêu chuẩn,CE17,Desat Silver,CI1M,Grey,188.000.000,188.000.000,0,Không,VF-ZVEH-EI23_2025-TH14V-CE17-CI1M,,30 kW,~210 km/lần sạc,,
2,VF 2,TH14V,Tiêu chuẩn,CE2G,Sky Blue,CI1M,Grey,196.000.000,188.000.000,8.000.000,Không,VF-ZVEH-EI23_2025-TH14V-CE2G-CI1M,,30 kW,~210 km/lần sạc,,
3,VF 2,TH14V,Tiêu chuẩn,CE2Q,Solar Ruby,CI1M,Grey,188.000.000,188.000.000,0,Không,VF-ZVEH-EI23_2025-TH14V-CE2Q-CI1M,,30 kW,~210 km/lần sạc,,
4,VF 2,TH14V,Tiêu chuẩn,CE18,Infinity Blanc,CI1M,Grey,188.000.000,188.000.000,0,Không,VF-ZVEH-EI23_2025-TH14V-CE18-CI1M,,30 kW,~210 km/lần sạc,,
5,VF 2,TH14V,Tiêu chuẩn,CE2T,Be Pebble,CI1M,Grey,196.000.000,188.000.000,8.000.000,Không,VF-ZVEH-EI23_2025-TH14V-CE2T-CI1M,,30 kW,~210 km/lần sạc,,
6,VF 2,TH14V,Tiêu chuẩn,CE1W,Urban Mint,CI1M,Grey,196.000.000,188.000.000,8.000.000,Không,VF-ZVEH-EI23_2025-TH14V-CE1W-CI1M,,30 kW,~210 km/lần sạc,,
7,VF 2,TH14V,Tiêu chuẩn,CE1U,Yellow,CI1M,Grey,196.000.000,188.000.000,8.000.000,Không,VF-ZVEH-EI23_2025-TH14V-CE1U-CI1M,,30 kW,~210 km/lần sạc,,
8,VF 2,TH14V,Tiêu chuẩn,CE21,Rose Pink,CI1M,Grey,196.000.000,188.000.000,8.000.000,Không,VF-ZVEH-EI23_2025-TH14V-CE21-CI1M,,30 kW,~210 km/lần sạc,,
9,VF 3,TI1CV,Eco,CE2Q,Solar Ruby,CI11,Black,285.000.000,285.000.000,0,Có,VF-ZVEH-EI13_1024-TI1CV-CE2Q-CI11,,30 kW,215 km,,
10,VF 3,TI1CV,Eco,181U,Summer Yellow Body - Infinity Blanc Roof,CI11,Black,293.000.000,285.000.000,8.000.000,Có,VF-ZVEH-EI13_1024-TI1CV-181U-CI11,,30 kW,215 km,,
11,VF 3,TI1CV,Eco,181Y,Sky Blue - Infinity Blanc Roof,CI11,Black,293.000.000,285.000.000,8.000.000,Có,VF-ZVEH-EI13_1024-TI1CV-181Y-CI11,,30 kW,215 km,,
12,VF 3,TI1CV,Eco,CE1W,Urban Mint,CI11,Black,293.000.000,285.000.000,8.000.000,Có,VF-ZVEH-EI13_1024-TI1CV-CE1W-CI11,,30 kW,215 km,,
13,VF 3,TI1CV,Eco,CE1V,Zenith Grey,CI11,Black,285.000.000,285.000.000,0,Có,VF-ZVEH-EI13_1024-TI1CV-CE1V-CI11,,30 kW,215 km,,
14,VF 3,TI1CV,Eco,CE18,Infinity Blanc,CI11,Black,285.000.000,285.000.000,0,Có,VF-ZVEH-EI13_1024-TI1CV-CE18-CI11,,30 kW,215 km,,
15,VF 3,TI1CV,Eco,1821,Rose Pink Body - Infinity Blanc Roof,CI11,Black,293.000.000,285.000.000,8.000.000,Có,VF-ZVEH-EI13_1024-TI1CV-1821-CI11,,30 kW,215 km,,
16,VF 3,TI1BV,Plus,CE2Q,Solar Ruby,CI11,Black,296.000.000,304.000.000,-8.000.000,Có,VF-ZVEH-EI13_1024-TI1BV-CE2Q-CI11,,30 kW,215 km,,
17,VF 3,TI1BV,Plus,181U,Summer Yellow Body - Infinity Blanc Roof,CI11,Black,304.000.000,304.000.000,0,Có,VF-ZVEH-EI13_1024-TI1BV-181U-CI11,,30 kW,215 km,,
18,VF 3,TI1BV,Plus,181Y,Sky Blue - Infinity Blanc Roof,CI11,Black,304.000.000,304.000.000,0,Có,VF-ZVEH-EI13_1024-TI1BV-181Y-CI11,,30 kW,215 km,,
19,VF 3,TI1BV,Plus,CE1W,Urban Mint,CI11,Black,304.000.000,304.000.000,0,Có,VF-ZVEH-EI13_1024-TI1BV-CE1W-CI11,,30 kW,215 km,,
20,VF 3,TI1BV,Plus,CE1V,Zenith Grey,CI11,Black,296.000.000,304.000.000,-8.000.000,Có,VF-ZVEH-EI13_1024-TI1BV-CE1V-CI11,,30 kW,215 km,,
